ACCESSION	IRIS_ID	SUBPOPULATION	COUNTRY
MHARAKA::IRGC 70612-1	IRIS_313-11809	aus	Kenya
OVAL RED 29 B 601::IRGC 38130-2	IRIS_313-11223	aro	Bangladesh
JC 149	IRIS_313-8385	aro	India
NCS 901 A::IRGC 62568-1	IRIS_313-11650	ind2	India
PHAE MEUN LAN::IRGC 29660-1	IRIS_313-11080	ind3	Lao People's Democratic Republic
ARC 13829	IRIS_313-8712	aro	India
JENDA ABANG::IRGC 25413-2	IRIS_313-10951	ind3	Indonesia
BOTESHSHORE::IRGC 53484-1	IRIS_313-11483	aus	Bangladesh
YUELIANGGU	CX390	indx	
SLAMET::IRGC 18900-1	IRIS_313-10817	trop	Indonesia
SONA::IRGC 26971-C1	IRIS_313-7780	indx	India
TYPE3	CX218	ind1B	
ARC 7255::IRGC 12343-2	IRIS_313-10668	indx	India
NAM ROO::IRGC 66996-1	IRIS_313-10176	subtrop	Thailand
NANXIONGZAOYOUZHAN	B210	ind1A	
NASAENG::IRGC 107819-1	IRIS_313-12355	indx	Lao People's Democratic Republic
EPEAL 102::IRGC 78698-1	IRIS_313-10220	indx	Brazil
GUANGKEXIANGNUO	B066	temp	
MON LAI::IRGC 85857-1	IRIS_313-12129	subtrop	Lao People's Democratic Republic
MIN ZAO 6::IRGC 63772-1	IRIS_313-10170	ind1A	China
ARC 14901::IRGC 41811-1	IRIS_313-11274	aus	India
BWANGA MOUI::IRGC 76262-1	IRIS_313-11946	trop	Burkina Faso
GABAHSI RASAKI C 90::IRGC 49647-1	IRIS_313-9197	ind3	India
PATNAI 31-679::IRGC 38149-2	IRIS_313-11224	ind2	Bangladesh
PULURE::IRGC 70647-1	IRIS_313-11810	ind3	Kenya
ARC 12536::IRGC 41068-1	IRIS_313-9053	admix	India
SRAU THMOR::IRGC 29904-1	IRIS_313-11089	ind3	Cambodia
FEI ZHAO 12::IRGC 62683-1	IRIS_313-11651	temp	China
DOM ZARD	IRIS_313-8747	aro	Iran
KILANG MEDU::IRGC 25442-1	IRIS_313-10952	trop	Indonesia
EJALI::IRGC 53500-1	IRIS_313-11484	aus	Bangladesh
TJEMPO PENDEK UNTUNG::IRGC 19055-2	IRIS_313-10818	ind3	Indonesia
YJ30	CX391	temp	
TSIPALA B 160::GERVEX 8378-C1	IRIS_313-7793	ind2	
ARC 10296::IRGC 12421-2	IRIS_313-10670	aro	India
FL478	CX219	indx	
HAN NUO::IRGC 82350-1	IRIS_313-10228	temp	China
NORIN 21::IRGC 493-1	IRIS_313-10437	temp	Japan
CHIKENUO	B212	temp	
ALTAMIRA 9::IRGC 116953-1	IRIS_313-10257	indx	Nicaragua
KHAO PA::IRGC 85972-1	IRIS_313-12130	ind3	Lao People's Democratic Republic
FUNINGZIPIGENGZI	B067	ind1A	
YA NONG ZAO 4::IRGC 63908-1	IRIS_313-10171	ind1A	China
BIE LEI::IRGC 76478-1	IRIS_313-11947	indx	China
CN 44-40-7::IRGC 45368-1	IRIS_313-11355	indx	India
KHAO PONG AEV::IRGC 29820-1	IRIS_313-9198	ind3	Lao People's Democratic Republic
KOMALIOKO::IRGC 69958-1	IRIS_313-11793	ind2	Madagascar
SADAJIRA (DEEP STRAW) 16-194::IRGC 38251-2	IRIS_313-11225	indx	Bangladesh
KOIYA DIGHA::IRGC 63517-1	IRIS_313-9445	admix	Bangladesh
GONG SHE 9::IRGC 62693-1	IRIS_313-11652	temp	China
KEO LAI::IRGC 29969-2	IRIS_313-11090	ind3	Lao People's Democratic Republic
ARC 10497	IRIS_313-8813	aro	India
DAMNOEUB KHSE SAUT::IRGC 22819-2	IRIS_313-10899	ind3	Cambodia
RAMINAD (GERMAN)::IRGC 53058-1	IRIS_313-11485	ind3	Philippines
SARD	CX392	indx	
TJERE ENER::IRGC 19103-1	IRIS_313-10819	ind3	Indonesia
IR 28::IRGC 30411-C1	IRIS_313-7691	ind1B	Philippines
PR106	CX22	ind1B	
ARC 10581::IRGC 12514-1	IRIS_313-10671	indx	India
SAWAH::IRGC 71612-1	IRIS_313-8279	trop	Malaysia
LIUYENIAN	B213	ind1A	
NAGKAYAT::IRGC 584-1	IRIS_313-10440	temp	Philippines
FONAIAP 2::IRGC 116985-1	IRIS_313-10268	indx	Venezuela
GAOYANGDIANDAO DAHONGMANG	B068	temp	
LG 944::IRGC 86000-1	IRIS_313-12131	ind3	Lao People's Democratic Republic
DA GANG ZHAN::IRGC 67103-1	IRIS_313-10177	indx	China
CR 44-1::IRGC 45397-1	IRIS_313-11356	aro	India
HOU LU BAI::IRGC 76582-1	IRIS_313-11948	ind1A	China
ARC 6044::IRGC 12190-1	IRIS_313-9201	trop	India
SADAJIRA 19-258::IRGC 38293-2	IRIS_313-11226	ind2	Bangladesh
MOSHI::IRGC 70648-1	IRIS_313-11811	ind2	Kenya
SML ACORNI::IRGC 13389-1	IRIS_313-9464	admix	Surinam
KHAO NON::IRGC 30051-1	IRIS_313-11091	indx	Lao People's Democratic Republic
MA SHE 8::IRGC 62750-1	IRIS_313-11653	temp	China
SHANKA::IRGC 67848-1	IRIS_313-8814	aro	Bhutan
PADI ABUNG KUNING::IRGC 25469-1	IRIS_313-10953	trop	Indonesia
KHAGRAI DIGHA::IRGC 53529-1	IRIS_313-11486	admix	Bangladesh
PEUTEUJ::IRGC 18484-1	IRIS_313-10802	trop	Indonesia
HUANGSIZHAN	CX393	ind1B	
NONA BOKRA::IRGC 22710-C1	IRIS_313-7736	ind2	India
BICCO BRANCO::IRGC 9478-1	IRIS_313-10619	trop	
IRAT109	CX220	trop	
REXARK ROGUE::IRGC 1972-1	IRIS_313-8323	trop	United States of America
CASIBON::IRGC 589-2	IRIS_313-10441	indx	Philippines
XUANENCHANGTANQINGZHAN	B214	ind1B	
3210::IRGC 116950-1	IRIS_313-10298	ind1B	Sri Lanka
DAU NGHA THAI BINH::IRGC 82891-1	IRIS_313-12078	indx	Viet Nam
DANDONGLUDAO	B069	japx	
GAO JIAO BAI::IRGC 68047-1	IRIS_313-10178	ind1A	China
LIU HE XI HE::IRGC 76661-1	IRIS_313-11949	ind1A	China
CR 579-1-3::IRGC 45443-2	IRIS_313-11357	ind1B	India
CHI SHENG TAO::IRGC 4606-1	IRIS_313-9204	ind1A	China
ASFALA::IRGC 70650-1	IRIS_313-11812	ind3	Kenya
SADAJIRA 19-317::IRGC 38344-2	IRIS_313-11227	ind2	Bangladesh
TSIVIMBININA::IRGC 69890-1	IRIS_313-10051	trop	Madagascar
PL 3165::IRGC 62827-1	IRIS_313-11654	temp	China
KHAO PA SIEV::IRGC 30063-1	IRIS_313-11092	admix	Lao People's Democratic Republic
JC 157	IRIS_313-9629	aro	India
PADI GRUNDUL 1::IRGC 25493-1	IRIS_313-10954	ind3	Indonesia
LALDIGHA::IRGC 53541-1	IRIS_313-11487	ind2	Bangladesh
MOLIZHANXUAN	CX394	ind1B	
TJERE MANGGA::IRGC 19116-2	IRIS_313-10820	ind3	Indonesia
WAS 33-B-B-15-1-4-5::C1	IRIS_313-7826	ind1B	
ZHONGYOUZAO 81	CX221	indx	
ARC 10843::IRGC 12653-1	IRIS_313-10673	aus	India
PURAK SIRIBA::IRGC 71598-1	IRIS_313-8381	trop	Malaysia
HONGQI 5	B215	temp	
FORTUNA COLORADO::IRGC 703-1	IRIS_313-10444	trop	Central America
B 4414 F-MR-6-3::IRGC 117310-1	IRIS_313-10332	indx	Indonesia
LAOGUANGTOU 83	B070	japx	
TAP KHOUAY::IRGC 86373-1	IRIS_313-12133	ind3	Lao People's Democratic Republic
GUI HUA ZAO::IRGC 68060-1	IRIS_313-10179	indx	China
DADKHANI::IRGC 45454-2	IRIS_313-11358	ind2	India
MI GU::IRGC 76687-1	IRIS_313-11950	ind1A	China
KACIK TARAM::IRGC 35310-1	IRIS_313-9208	ind3	Indonesia
SADAJIRA 19-339::IRGC 38361-2	IRIS_313-11228	ind2	Bangladesh
ZERO::IRGC 70707-2	IRIS_313-11813	ind3	Kenya
TIMMURAY::IRGC 67857-1	IRIS_313-8765	aro	Bhutan
KHAO TAM::IRGC 30085-2	IRIS_313-11093	subtrop	Lao People's Democratic Republic
WUA PAN LAK::IRGC 61357-1	IRIS_313-11610	ind3	Thailand
JAGLI BORO::IRGC 27516-2	IRIS_313-8252	aus	Bangladesh
PADI PUYUH::IRGC 25532-1	IRIS_313-10955	ind3	Indonesia
SANGHAI::GERVEX 1264-C1	IRIS_313-8140	temp	
TJ PERAK::IRGC 19141-1	IRIS_313-10821	ind3	Indonesia
YSBR1	CX395	admix	
WAS 199-B-1-2-1::C1	IRIS_313-7816	ind1B	
ARC 10846::IRGC 12656-2	IRIS_313-10674	indx	India
IR77298-14-1-2	CX225	ind1B	
PIKTO MAMAS::IRGC 18487-1	IRIS_313-8436	trop	Indonesia
SERAUP 50::IRGC 14-1	IRIS_313-10428	ind3	Malaysia
HANMADAO4	B216	ind1A	
BR 4973-34-6-6::IRGC 117317-1	IRIS_313-10340	indx	Bangladesh
THATENG::IRGC 86377-1	IRIS_313-12134	subtrop	Lao People's Democratic Republic
MUXIQIU	B071	temp	
DA NUO (ZHAN)::IRGC 72025-1	IRIS_313-10189	ind1A	China
MIAO ZHAN::IRGC 76691-1	IRIS_313-11951	ind1A	China
DAHARNAGRA::IRGC 45465-2	IRIS_313-11359	ind2	India
LEUANG LAI MAE PRAJAN::IRGC 71279-1	IRIS_313-9209	ind3	Thailand
KIKUBA::IRGC 70722-1	IRIS_313-11814	ind3	Kenya
STRAW 23-428::IRGC 38416-2	IRIS_313-11229	ind2	Bangladesh
TK DEEP STRAW 34-786::IRGC 38522-1	IRIS_313-9170	aro	Bangladesh
SI WAN 14::IRGC 63019-1	IRIS_313-11655	temp	China
MAK BOUAP::IRGC 30106-3	IRIS_313-11094	subtrop	Lao People's Democratic Republic
BHADOIA 303::IRGC 6588-1	IRIS_313-8321	aus	Bangladesh
PUTUS TOLO::IRGC 25636-2	IRIS_313-10956	trop	Indonesia
KALU T 139::IRGC 53670-1	IRIS_313-11489	aus	India
GUANDONG 194 (SOFT RICE)	CX396	temp	
UNGGAS::IRGC 19176-2	IRIS_313-10822	ind3	Indonesia
ANGIFOTSY 685::GERVEX 4717-C1	IRIS_313-7638	indx	
IR06G113	CX226	ind1B	
ARC 10905::IRGC 12669-1	IRIS_313-10675	indx	India
KENDINGA 5 (H)::IRGC 60310-1	IRIS_313-8439	trop	Malaysia
HONGGU	B217	ind1B	
BINOLAYANGUN::IRGC 791-2	IRIS_313-10448	ind3	Philippines
IR 52718-B-B-6-B-B-1-1::IRGC 117334-1	IRIS_313-10357	indx	Philippines
QIUQIANBAI	B072	ind1A	
PERUBAK LUEY::IRGC 86436-1	IRIS_313-12135	ind1B	Malaysia
DENG DENG QI::IRGC 72036-1	IRIS_313-10190	ind1A	China
JALADHI 1::IRGC 45858-2	IRIS_313-11360	aro	India
QI YUE ZHAN::IRGC 76722-1	IRIS_313-11952	ind1A	China
KUATEK::IRGC 14285-1	IRIS_313-9210	ind3	Malaysia
STRAW 23-438::IRGC 38426-2	IRIS_313-11230	ind2	Bangladesh
MOSHI::IRGC 70730-1	IRIS_313-11815	ind3	Kenya
TK RED 35-799::IRGC 38535-1	IRIS_313-9682	aro	Bangladesh
MAK EA NAM::IRGC 30131-2	IRIS_313-11095	ind3	Lao People's Democratic Republic
B 3913 B 16-20 ST 28::IRGC 63099-1	IRIS_313-11656	indx	Indonesia
SUFAID 246::IRGC 28303-1	IRIS_313-8390	aus	Pakistan
RANGKAI KEPEL::IRGC 25640-1	IRIS_313-10957	trop	Indonesia
ARC 15480::IRGC 53799-1	IRIS_313-11490	indx	India
UTRI DELI::IRGC 19182-1	IRIS_313-10823	ind3	Indonesia
NANGENG 46 (SOFT RICE)	CX397	temp	
WAS 170-B-B-1-1::C1	IRIS_313-7807	ind1B	
ARC 10916::IRGC 12673-1	IRIS_313-10676	admix	India
KASALATH	CX227	aus	
YAHNG LEU::IRGC 78279-1	IRIS_313-8565	subtrop	Thailand
CI 7061::IRGC 968-1	IRIS_313-10449	ind1A	China
WUZIDUI	B218	temp	
IR 77390-1-6-4-19-1-B::IRGC 117303-1	IRIS_313-10392	ind1B	Philippines
YADU BARA::IRGC 86912-1	IRIS_313-12138	indx	Bhutan
JINXIBAI2	B073	indx	
MIN KE ZHAN::IRGC 72230-1	IRIS_313-10191	ind1A	China
SAN BAO GU::IRGC 76732-1	IRIS_313-11953	ind1A	China
KALIKALMA::IRGC 45996-2	IRIS_313-11361	ind2	India
KALO CHAKOL::IRGC 77258-1	IRIS_313-9218	ind2	Bangladesh
KARILETYONE::IRGC 70745-1	IRIS_313-11816	indx	Myanmar
STRAW 23-471::IRGC 38456-1	IRIS_313-11231	ind2	Bangladesh
BASMATI 1::IRGC 27798-1	IRIS_313-8656	aro	Pakistan
EX WUKARI (WILD)::IRGC 63214-1	IRIS_313-11657	ind2	Nigeria
CADUNG SO BLOC 1::IRGC 30231-1	IRIS_313-11096	ind3	Viet Nam
KHARSU 80::IRGC 28016-1	IRIS_313-8398	aus	Pakistan
RENIK BELITI::IRGC 25648-1	IRIS_313-10958	trop	Indonesia
BIR BAHADUR::IRGC 53889-1	IRIS_313-11491	ind2	India
MATATAG2	CX399	ind1B	
HOING CANTEL::IRGC 19282-2	IRIS_313-10824	ind3	Indonesia
IR 57920-AC 25-2-B::C1	IRIS_313-7698	indx	
BALA	CX228	indx	
DEWAMINORI::IRGC 12743-1	IRIS_313-10677	temp	Japan
ONOY::IRGC 55418-1	IRIS_313-8572	trop	Philippines
HAOLAI	B219	indx	
CHAN KU::IRGC 1069-1	IRIS_313-10450	ind1A	China
IRGA 318-11-9-2A::IRGC 117340-1	IRIS_313-10398	ind1B	Colombia
TAISHANNUO	B074	ind1A	
MANSARA DHAN::IRGC 86940-1	IRIS_313-12139	aus	Nepal
GUO DI HEI::IRGC 72697-1	IRIS_313-10196	trop	China
KEYA NUNIA::IRGC 46117-2	IRIS_313-11362	aro	India
XIA HONG GU::IRGC 76803-1	IRIS_313-11954	ind1A	China
WP 65::IRGC 36526-1	IRIS_313-9227	ind1B	Thailand
RUJAK DANAN::IRGC 35446-2	IRIS_313-11178	ind3	Indonesia
KHAOSAING::IRGC 70746-2	IRIS_313-11817	indx	Myanmar
ARC 7229::IRGC 12331-1	IRIS_313-9172	aro	India
KALAGNON::IRGC 30335-1	IRIS_313-11097	indx	Philippines
MANYALOJOPOIHUN::IRGC 63350-1	IRIS_313-11658	trop	Sierra Leone
JABOR SAIL::IRGC 66831-1	IRIS_313-8410	aus	Bangladesh
SITABO TABO::IRGC 25798-1	IRIS_313-10959	trop	Indonesia
SIRHANTI::IRGC 53930-1	IRIS_313-11492	aus	India
KEMA 5::IRGC 19343-2	IRIS_313-10825	indx	
93072	CX4	indx	
MAMORIAKA 114::GERVEX 5176-C1	IRIS_313-7728	ind2	
MAKALIOKA::IRGC 12781-2	IRIS_313-10678	ind2	Madagascar
RASI	CX23	ind3	
BUE GA WA::IRGC 60824-1	IRIS_313-8599	subtrop	Thailand
LING TA 150::IRGC 1106-1	IRIS_313-10452	ind1A	China
FANHAOPI	B221	ind1A	
WAR 87-7-A10-2-B-B-B-1::IRGC 117362-1	IRIS_313-10422	indx	Sierra Leone
HATEA::IRGC 86973-1	IRIS_313-12141	aus	Bangladesh
JINBAOYIN	B075	indx	
BAI HE::IRGC 76438-1	IRIS_313-10211	ind1A	China
YE DA GU::IRGC 76834-1	IRIS_313-11955	ind1A	China
KHEJURTHUPI::IRGC 46137-2	IRIS_313-11363	ind2	India
JANDA LAOR::IRGC 48552-1	IRIS_313-9251	ind3	Indonesia
LETYONE::IRGC 70753-1	IRIS_313-11818	indx	Myanmar
R 146::IRGC 38606-1	IRIS_313-11232	aus	India
RADIN PAHANG::IRGC 14487-1	IRIS_313-8316	ind3	Malaysia
TOBOHUN::IRGC 63433-1	IRIS_313-11659	trop	Sierra Leone
KOLUBA::IRGC 30463-1	IRIS_313-11098	ind3	Sierra Leone
ARC 11959::IRGC 21780-1	IRIS_313-8554	aus	India
SUNGKAI::IRGC 25812-1	IRIS_313-10960	trop	Indonesia
AR 133::IRGC 53942-1	IRIS_313-11493	indx	India
TOG5674	CX400	admix	
BINARITOS::IRGC 19391-1	IRIS_313-10827	trop	Philippines
IR 2344-P1 PB-9-3-2B::IRGC 39317-C1	IRIS_313-7690	indx	Philippines
IR64-IL	CX230	ind1B	
KHAI DO::IRGC 12903-2	IRIS_313-10679	subtrop	Lao People's Democratic Republic
PRELUDE::IRGC 1790-1	IRIS_313-8627	trop	United States of America
BEIZINUO	B222	ind1A	
LU TAO 2::IRGC 1175-1	IRIS_313-10453	japx	China
CODE NO 31323::IRGC 46907-1	IRIS_313-9190	indx	India
MINBEIWANXIAN	B076	indx	
KASHMIRI::IRGC 83002-1	IRIS_313-12079	ind3	Pakistan
BA BAI GU::IRGC 79580-1	IRIS_313-10221	indx	China
KHIRPULI::IRGC 46143-1	IRIS_313-11364	indx	India
JUNGEMARSI::IRGC 76901-1	IRIS_313-11956	admix	Nepal
YONG JIN ZAO 3::IRGC 70441-1	IRIS_313-9253	ind1A	China
SPR 7284-57-5::IRGC 38649-1	IRIS_313-11233	ind1B	Thailand
PADINTHUMA::IRGC 70762-2	IRIS_313-11819	ind3	Myanmar
NCS 840::IRGC 62530-1	IRIS_313-9516	ind2	India
THAO LOUANG::IRGC 29688-2	IRIS_313-11081	ind3	Lao People's Democratic Republic
WULE DASIMA::IRGC 63450-1	IRIS_313-11660	trop	Liberia
HOLOI BASH (SOLOI BASH)::IRGC 64778-1	IRIS_313-8721	aus	Bangladesh
TARING PELUNDUK::IRGC 25821-2	IRIS_313-10961	ind3	Indonesia
IC 25690::IRGC 53973-1	IRIS_313-11494	subtrop	India
IKOGAN::IRGC 19412-1	IRIS_313-10828	trop	Philippines
TOG7291	CX401	indx	
ADNY 11::C1	IRIS_313-7636	ind1B	
MAK NAM::IRGC 12940-2	IRIS_313-10680	ind3	Lao People's Democratic Republic
IR52561-UBN-1-1-2	CX231	indx	
CP 231::IRGC 34018-1	IRIS_313-8658	japx	United States of America
TAICHUNG 150::IRGC 80-1	IRIS_313-10429	temp	Taiwan
CUNGUNUO	B223	temp	
MAE MAI LUD NI::IRGC 66065-1	IRIS_313-9062	ind3	Thailand
ATT CHHMOUS::IRGC 87030-1	IRIS_313-12142	ind3	Cambodia
YIZHIXIANG	B077	temp	
TONG GU HONG::IRGC 81026-1	IRIS_313-10226	indx	China
DAW LUEY 4-3::IRGC 76929-1	IRIS_313-11957	indx	Thailand
LANJALI::IRGC 46236-2	IRIS_313-11365	indx	India
GALWAKA HANDERAN::IRGC 31381-1	IRIS_313-9256	indx	Sri Lanka
PAKISTANHMWE::IRGC 70763-1	IRIS_313-11820	ind3	Myanmar
LIGUNGTUNG::IRGC 38786-1	IRIS_313-11234	indx	Philippines
KURKARUPPAN::IRGC 15449-1	IRIS_313-9861	aus	Sri Lanka
91-382::IRGC 63464-1	IRIS_313-11661	temp	Bhutan
PECALO::IRGC 30595-2	IRIS_313-11099	ind2	Sierra Leone
BATHURI::IRGC 25838-1	IRIS_313-8963	aus	Bangladesh
TERUNG DAUN::IRGC 25823-2	IRIS_313-10962	ind3	Indonesia
ANENOE::IRGC 54140-1	IRIS_313-11495	trop	Indonesia
TOG6542	CX402	admix	
INAMBOG::IRGC 19415-1	IRIS_313-10829	trop	Philippines
LAITRA::GERVEX 8400-C1	IRIS_313-7720	ind2	
IR55419-04	CX232	indx	
KHAN THAI DO::IRGC 12990-1	IRIS_313-10681	ind3	Lao People's Democratic Republic
NEP HOA VANG	IRIS_313-8690	japx	Viet Nam
YOUNIAN	B224	ind1A	
P 168::IRGC 1354-1	IRIS_313-10458	ind1A	China
DAGPA MRAS::IRGC 62166-1	IRIS_313-8486	subtrop	Bhutan
ESINIU	B079	ind1A	
SRAU KHGNAERNG::IRGC 87073-1	IRIS_313-12143	ind3	Cambodia
PSBRC 50::IRGC 99706-1	IRIS_313-10234	ind1B	Philippines
MAKARANDASAIL::IRGC 46289-2	IRIS_313-11367	ind2	India
PUANG MAHLAI KHAO::IRGC 76959-1	IRIS_313-11958	ind3	Thailand
MAKRO::IRGC 74763-1	IRIS_313-9258	ind2	India
PINILING DANIEL::IRGC 38828-2	IRIS_313-11235	indx	Philippines
TSIPALA MENAHAR::IRGC 69979-1	IRIS_313-11794	ind2	Madagascar
ARAURE 1::IRGC 116956-1	IRIS_313-10289	ind1B	Venezuela
MAMON::IRGC 30792-1	IRIS_313-11100	trop	Liberia
MARHARORA::IRGC 63511-1	IRIS_313-11663	admix	Zimbabwe
ARC 10100::IRGC 20709-1	IRIS_313-9137	aus	India
DAMNOEUB POR HING::IRGC 22841-2	IRIS_313-10900	ind3	Cambodia
BALU PRIA::IRGC 54158-1	IRIS_313-11496	trop	Indonesia
PLAMPEYAN::IRGC 18494-1	IRIS_313-10803	trop	Indonesia
IR64A	CX403	ind1B	
SEBERANG MR 77::C1	IRIS_313-7773	ind1B	
PA KHENG::IRGC 12996-1	IRIS_313-10682	ind3	Lao People's Democratic Republic
IR58821-23-1-3-1	CX233	indx	
TRES MESES::IRGC 6464-1	IRIS_313-8694	trop	Brazil
PI 160862-1::IRGC 1452-1	IRIS_313-10459	japx	China
GUANTUIBAIHE 1	B225	temp	
PAOTSUPAGAIAHON::IRGC 17072-1	IRIS_313-8873	admix	Taiwan
GINAYANGGANG::IRGC 87131-1	IRIS_313-12144	trop	Philippines
HEIDU 4	B081	ind1A	
PSBRC 68::IRGC 99711-1	IRIS_313-10235	indx	Philippines
KAGIOS PUTI::IRGC 76965-1	IRIS_313-11959	ind3	Philippines
PANIKELASH::IRGC 46500-2	IRIS_313-11368	ind2	India
G 25::IRGC 45733-1	IRIS_313-9259	ind2	India
19::IRGC 70786-1	IRIS_313-11821	ind2	India
LIONG ORN::IRGC 38875-2	IRIS_313-11236	ind3	
ELONI::IRGC 116980-1	IRIS_313-10290	ind1B	Surinam
CUN GU NUO::IRGC 63576-1	IRIS_313-11664	indx	China
Y 115::IRGC 30856-2	IRIS_313-11101	indx	Liberia
TAK SUFAID::IRGC 73127-1	IRIS_313-9283	aus	Pakistan
KATAKCHIKON::IRGC 25880-1	IRIS_313-10963	aus	Bangladesh
PADI ARA::IRGC 54252-2	IRIS_313-11497	ind2	Indonesia
IR68552-55-3-2	CX42	indx	
INAPORAONAN::IRGC 19418-1	IRIS_313-10830	trop	Philippines
IR 2307-247-2-2-3::IRGC 77982-C1	IRIS_313-7689	ind1B	Philippines
IR62266-42-6-2	CX234	indx	
R 27::IRGC 9498-1	IRIS_313-10620	trop	Brazil
TEXAS PATNA::IRGC 1797-1	IRIS_313-8803	trop	United States of America
HEIMANGDAO	B226	temp	
GINMASARI::IRGC 242-1	IRIS_313-10430	temp	Japan
CALIFORNIA BELLE::IRGC 66836-1	IRIS_313-8923	trop	United States of America
QIYUEXIAN	B082	indx	
AM BEUS::IRGC 87189-1	IRIS_313-12146	indx	Cambodia
PSBRC 86::IRGC 99716-1	IRIS_313-10237	ind1B	Philippines
RANACHANDRABHOG::IRGC 46567-2	IRIS_313-11369	ind2	India
PORONG::IRGC 76983-1	IRIS_313-11960	ind1B	Indonesia
JHODI BIRUN::IRGC 31812-1	IRIS_313-9262	ind2	Bangladesh
TAICHUNG SEN YU 214::IRGC 38899-1	IRIS_313-11237	ind1B	Taiwan
BHONDU PAREWA::IRGC 70802-1	IRIS_313-11822	ind2	India
CT 9506-18-7-1T-2::IRGC 116973-1	IRIS_313-10300	indx	Colombia
D 1-39::IRGC 30868-1	IRIS_313-11102	trop	Liberia
YAH YAW::IRGC 61359-1	IRIS_313-11611	trop	Thailand
CHANDARHAT::IRGC 25845-1	IRIS_313-9368	aus	Bangladesh
SADUMONI::IRGC 25919-1	IRIS_313-10964	aus	Bangladesh
PADI HEDENG (REKET HEDENG)::IRGC 54266-1	IRIS_313-11498	trop	Indonesia
MALANDI 2::IRGC 19454-2	IRIS_313-10831	trop	Philippines
IR66897B	CX43	ind1B	
BOTRA MAITSO::GERVEX 8389-C1	IRIS_313-7651	ind2	
NGAN TIA::IRGC 13010-1	IRIS_313-10683	ind3	Lao People's Democratic Republic
NSIC RC9 (APO)	CX235	indx	
PADI SEPAH::IRGC 48803-1	IRIS_313-8865	trop	Indonesia
KINUGASAWASE::IRGC 2609-1	IRIS_313-10469	temp	Japan
MENJIAGAO 1	B227	indx	
RIKUTO KEMOCHI	IRIS_313-9523	japx	Japan
ARNG'-KAR PHAR ONG::IRGC 87196-1	IRIS_313-12147	ind3	Cambodia
DONGTINGWANXIAN	B083	ind1A	
PSBRC 88::IRGC 99717-1	IRIS_313-10238	ind1B	Philippines
IN TOK::IRGC 77071-1	IRIS_313-11961	ind3	Thailand
SACHI::IRGC 46612-2	IRIS_313-11370	ind2	India
PURA BINNI::IRGC 26772-1	IRIS_313-9271	ind2	Bangladesh
BHU BHUSI::IRGC 70803-1	IRIS_313-11823	ind2	India
IAC 1132::IRGC 39052-1	IRIS_313-11238	trop	Brazil
B 6136-3-TB-0-1-5::IRGC 117312-1	IRIS_313-10333	ind1B	Indonesia
JIN HUA 258::IRGC 63670-1	IRIS_313-11665	ind1A	China
D 1-147::IRGC 30894-2	IRIS_313-11103	trop	Liberia
CHUNGUR BALI::IRGC 25855-1	IRIS_313-9422	aus	Bangladesh
TILOKCHAN (SONABETHI)::IRGC 25927-1	IRIS_313-10965	aus	Bangladesh
T 757::GERVEX 1316-C1	IRIS_313-8147	temp	
DUOXI 1	CX431	indx	
MALASAY::IRGC 19456-1	IRIS_313-10832	trop	Philippines
IR 55411-50::IRTP 16682-C1	IRIS_313-7696	indx	
VANDANA	CX236	indx	
BONGOLON::IRGC 13094-1	IRIS_313-10684	ind3	Malaysia
LEK::IRGC 40199-1	IRIS_313-8911	admix	Thailand
HAOBAYONG 1	B228	japx	
PACHCHAIPERUMAL 2462-11::IRGC 3474-1	IRIS_313-10476	ind2	Sri Lanka
IRAT 118::IRGC 55785-1	IRIS_313-9978	aro	Madagascar
BAWANGBIAN 1	B084	admix	
ARN'-SAR THNGORN'::IRGC 87205-1	IRIS_313-12148	ind3	Cambodia
LIU XU::IRGC 109232-1	IRIS_313-10239	indx	China
SATHI::IRGC 46659-1	IRIS_313-11371	aus	India
KHAO SETTI::IRGC 77084-1	IRIS_313-11962	ind3	Thailand
KHAO KAI::IRGC 78251-1	IRIS_313-9281	ind3	Thailand
B 737 G-KN-23-1::IRGC 39203-2	IRIS_313-11239	indx	Indonesia
DHANIYA PHOOL::IRGC 70811-1	IRIS_313-11824	ind2	India
B 6136 E-3-TB-0-1-5::IRGC 117311-1	IRIS_313-10334	ind1B	Indonesia
D 3-102::IRGC 30972-1	IRIS_313-11104	trop	Liberia
LONG GE 33::IRGC 63705-1	IRIS_313-11666	indx	China
DANGAR::IRGC 76296-1	IRIS_313-9610	aus	India
HURANG ARISO LUTA::IRGC 26055-1	IRIS_313-10966	indx	Brazil
PADI UDANG::IRGC 54295-1	IRIS_313-11499	trop	Indonesia
EDAKKADAN 0-69-27::IRGC 19560-1	IRIS_313-10833	ind2	India
IR58025B	CX44	ind1B	
BOUAKE 189::C1	IRIS_313-7654	ind1B	
PADI PULUT::IRGC 13444-1	IRIS_313-10687	ind3	Malaysia
B6136-3-TB-0-1-5	CX237	ind1B	
SIGAE::IRGC 66645-1	IRIS_313-8998	trop	Indonesia
RUSTY LATE::IRGC 3506-1	IRIS_313-10477	indx	China
MENJIADING 2	B229	indx	
NONGLIMNA 1::IRGC 58347-1	IRIS_313-9995	trop	Korea, Republic of
DAMNOEUB KRACHAK SESS::IRGC 87380-1	IRIS_313-12151	ind3	Cambodia
XUGUNUO	B085	ind1A	
